symbol,price
OCEANBTC,0.00001297
OCEANBUSD,0.43020000
OCEANUSDT,0.43010000
NMRBNB,0.11420000
NMRBTC,0.00108000
NMRBUSD,35.86200000
NMRUSDT,35.77000000
DOTBNB,0.04670000
DOTBTC,0.00044216
DOTBUSD,14.67300000
DOTUSDT,14.67300000
LUNABNB,0.02526000
LUNABTC,0.00023927
LUNABUSD,7.94000000
LUNAUSDT,7.94300000
IDEXBTC,0.00000111
IDEXBUSD,0.03680000
RSRBNB,0.00007300
RSRBTC,0.00000068
RSRBUSD,0.02278000
RSRUSDT,0.02280000
PAXGBNB,5.74200000
PAXGBTC,0.05461000
PAXGBUSD,1890.00000000
PAXGUSDT,1811.87000000
WNXMBNB,0.17936000
WNXMBTC,0.00169100
WNXMBUSD,22.16500000
WNXMUSDT,56.04800000
TRBBNB,0.51700000
TRBBTC,0.00114900
TRBBUSD,38.16300000
TRBUSDT,38.12400000
ETHNGN,805670.00000000
DOTBIDR,213690.00
LINKAUD,23.68600000
SXPAUD,2.51400000
BZRXBNB,0.00514000
BZRXBTC,0.00000593
BZRXBUSD,0.19730000
BZRXUSDT,0.19700000
WBTCBTC,1.00092000
WBTCETH,16.37300000
SUSHIBNB,0.02392000
SUSHIBTC,0.00022660
SUSHIBUSD,7.51800000
SUSHIUSDT,7.51700000
YFIIBNB,6.99500000
YFIIBTC,0.06584000
YFIIBUSD,2181.41000000
YFIIUSDT,2180.76000000
KSMBNB,0.64540000
KSMBTC,0.00610400
KSMBUSD,202.41000000
KSMUSDT,202.23000000
EGLDBNB,0.28030000
EGLDBTC,0.00264800
EGLDBUSD,87.85000000
EGLDUSDT,87.95000000
DIABNB,0.00381300
DIABTC,0.00004640
DIABUSD,1.53900000
DIAUSDT,1.53800000
RUNEUSDT,6.00300000
FIOUSDT,0.17970000
UMABTC,0.00026580
UMAUSDT,8.83200000
EOSUPUSDT,0.94800000
EOSDOWNUSDT,0.00108000
TRXUPUSDT,0.20900000
TRXDOWNUSDT,0.00094700
XRPUPUSDT,2.27100000
XRPDOWNUSDT,0.02166000
DOTUPUSDT,3.80200000
DOTDOWNUSDT,0.01310000
SRMBIDR,26748.00
ONEBIDR,119.92
LINKTRY,152.50000000
USDTNGN,960.58000000
BELBNB,0.00388000
BELBTC,0.00003677
BELBUSD,1.22130000
